Ratio,Accuracy,Balanced_Accuracy,Precision,Recall,F1_Score,ROC_AUC,FPR
1:1,0.65,0.6499999999999999,0.6666666666666666,0.6,0.631578947368421,0.7200000000000001,0.3
1:2,0.6666666666666666,0.675,0.5,0.7,0.5833333333333334,0.725,0.35
