Subject,Ratio,Window_ms,Accuracy,Balanced_Accuracy,Precision,Recall,F1_Score,ROC_AUC,FPR
sub-01,1:1,300,0.46875,0.46875,0.47058823529411764,0.5,0.48484848484848486,0.5703125,0.5625
sub-01,1:2,300,0.7708333333333334,0.734375,0.6666666666666666,0.625,0.6451612903225806,0.849609375,0.15625
sub-02,1:1,300,0.7368421052631579,0.7368421052631579,0.8,0.631578947368421,0.7058823529411765,0.7506925207756233,0.15789473684210525
sub-02,1:2,300,0.7368421052631579,0.6842105263157894,0.625,0.5263157894736842,0.5714285714285714,0.7728531855955679,0.15789473684210525
sub-03,1:1,300,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.8579881656804733,0.23076923076923078
sub-03,1:2,300,0.717948717948718,0.7115384615384615,0.5625,0.6923076923076923,0.6206896551724138,0.8313609467455622,0.2692307692307692
sub-04,1:1,300,0.8157894736842105,0.8157894736842105,0.875,0.7368421052631579,0.8,0.9002770083102493,0.10526315789473684
sub-04,1:2,300,0.7543859649122807,0.75,0.6086956521739131,0.7368421052631579,0.6666666666666666,0.8199445983379501,0.23684210526315788
sub-05,1:1,300,0.7631578947368421,0.763157894736842,0.8571428571428571,0.631578947368421,0.7272727272727273,0.8587257617728532,0.10526315789473684
sub-05,1:2,300,0.7017543859649122,0.6578947368421053,0.5555555555555556,0.5263157894736842,0.5405405405405406,0.7700831024930748,0.21052631578947367
sub-06,1:1,300,0.7142857142857143,0.7142857142857142,0.6666666666666666,0.8571428571428571,0.75,0.7959183673469388,0.42857142857142855
sub-06,1:2,300,0.8095238095238095,0.7857142857142857,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.846938775510204,0.14285714285714285
sub-07,1:1,300,0.8611111111111112,0.8611111111111112,0.9333333333333333,0.7777777777777778,0.8484848484848485,0.8981481481481481,0.05555555555555555
sub-07,1:2,300,0.6296296296296297,0.6111111111111112,0.45454545454545453,0.5555555555555556,0.5,0.7083333333333333,0.3333333333333333
sub-08,1:1,300,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9644970414201184,0.07692307692307693
sub-08,1:2,300,0.9230769230769231,0.8846153846153846,1.0,0.7692307692307693,0.8695652173913043,0.9940828402366864,0.0
sub-09,1:1,300,0.45454545454545453,0.45454545454545453,0.4444444444444444,0.36363636363636365,0.4,0.42148760330578516,0.45454545454545453
sub-09,1:2,300,0.5757575757575758,0.4772727272727273,0.2857142857142857,0.18181818181818182,0.2222222222222222,0.5123966942148761,0.22727272727272727
sub-10,1:1,300,0.7777777777777778,0.7777777777777778,0.7083333333333334,0.9444444444444444,0.8095238095238095,0.8271604938271605,0.3888888888888889
sub-10,1:2,300,0.7777777777777778,0.8055555555555556,0.6153846153846154,0.8888888888888888,0.7272727272727273,0.867283950617284,0.2777777777777778
sub-01,1:1,200,0.59375,0.59375,0.5714285714285714,0.75,0.6486486486486487,0.55078125,0.5625
sub-01,1:2,200,0.6875,0.703125,0.5217391304347826,0.75,0.6153846153846154,0.736328125,0.34375
sub-02,1:1,200,0.75,0.75,0.7647058823529411,0.7222222222222222,0.7428571428571429,0.7716049382716049,0.2222222222222222
sub-02,1:2,200,0.5370370370370371,0.5416666666666667,0.37037037037037035,0.5555555555555556,0.4444444444444444,0.6527777777777778,0.4722222222222222
sub-03,1:1,200,0.8333333333333334,0.8333333333333333,0.7857142857142857,0.9166666666666666,0.8461538461538461,0.9027777777777777,0.25
sub-03,1:2,200,0.6944444444444444,0.6666666666666667,0.5384615384615384,0.5833333333333334,0.56,0.8194444444444444,0.25
sub-04,1:1,200,0.7105263157894737,0.7105263157894737,0.6666666666666666,0.8421052631578947,0.7441860465116279,0.7063711911357341,0.42105263157894735
sub-04,1:2,200,0.7894736842105263,0.736842105263158,0.7333333333333333,0.5789473684210527,0.6470588235294118,0.8310249307479225,0.10526315789473684
sub-05,1:1,200,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7146814404432132,0.2631578947368421
sub-05,1:2,200,0.7368421052631579,0.7236842105263158,0.5909090909090909,0.6842105263157895,0.6341463414634146,0.7880886426592798,0.23684210526315788
sub-06,1:1,200,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.71900826446281,0.45454545454545453
sub-06,1:2,200,0.7575757575757576,0.7045454545454546,0.6666666666666666,0.5454545454545454,0.6,0.6487603305785125,0.13636363636363635
