Subject,Ratio,Evaluation,Accuracy,Balanced_Accuracy,Precision,Recall,F1_Score,ROC_AUC,FPR
sub-01,1:1,500->500,0.71875,0.71875,0.6842105263157895,0.8125,0.7428571428571429,0.8046875,0.375
sub-01,1:1,500->300,0.6875,0.6875,0.6666666666666666,0.75,0.7058823529411765,0.765625,0.375
sub-01,1:1,500->200,0.65625,0.65625,0.631578947368421,0.75,0.6857142857142857,0.63671875,0.4375
sub-01,1:1,300->300,0.5625,0.5625,0.5625,0.5625,0.5625,0.69140625,0.4375
sub-01,1:1,200->200,0.5,0.5,0.5,0.75,0.6,0.5234375,0.75
sub-01,1:2,500->500,0.6041666666666666,0.625,0.44,0.6875,0.5365853658536586,0.66796875,0.4375
sub-01,1:2,500->300,0.8333333333333334,0.828125,0.7222222222222222,0.8125,0.7647058823529411,0.77734375,0.15625
sub-01,1:2,500->200,0.5833333333333334,0.625,0.42857142857142855,0.75,0.5454545454545454,0.638671875,0.5
sub-01,1:2,300->300,0.7916666666666666,0.765625,0.6875,0.6875,0.6875,0.837890625,0.15625
sub-01,1:2,200->200,0.7083333333333334,0.71875,0.5454545454545454,0.75,0.631578947368421,0.736328125,0.3125
sub-02,1:1,500->500,0.6111111111111112,0.6111111111111112,0.625,0.5555555555555556,0.5882352941176471,0.654320987654321,0.3333333333333333
sub-02,1:1,500->300,0.6842105263157895,0.6842105263157894,0.7692307692307693,0.5263157894736842,0.625,0.7229916897506925,0.15789473684210525
sub-02,1:1,500->200,0.6111111111111112,0.6111111111111112,0.7,0.3888888888888889,0.5,0.6635802469135802,0.16666666666666666
sub-02,1:1,300->300,0.7368421052631579,0.7368421052631579,0.8,0.631578947368421,0.7058823529411765,0.7396121883656509,0.15789473684210525
sub-02,1:1,200->200,0.7222222222222222,0.7222222222222222,0.7,0.7777777777777778,0.7368421052631579,0.8148148148148148,0.3333333333333333
sub-02,1:2,500->500,0.7592592592592593,0.7083333333333334,0.6666666666666666,0.5555555555555556,0.6060606060606061,0.7978395061728395,0.1388888888888889
sub-02,1:2,500->300,0.7719298245614035,0.75,0.65,0.6842105263157895,0.6666666666666666,0.7936288088642659,0.18421052631578946
sub-02,1:2,500->200,0.6296296296296297,0.5972222222222222,0.45,0.5,0.47368421052631576,0.6172839506172839,0.3055555555555556
sub-02,1:2,300->300,0.7192982456140351,0.6842105263157895,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.7770083102493075,0.21052631578947367
sub-02,1:2,200->200,0.5555555555555556,0.5416666666666667,0.375,0.5,0.42857142857142855,0.6327160493827161,0.4166666666666667
sub-03,1:1,500->500,0.8461538461538461,0.8461538461538461,0.7647058823529411,1.0,0.8666666666666667,0.9467455621301775,0.3076923076923077
sub-03,1:1,500->300,0.8076923076923077,0.8076923076923077,0.7857142857142857,0.8461538461538461,0.8148148148148148,0.863905325443787,0.23076923076923078
sub-03,1:1,500->200,0.625,0.625,0.7142857142857143,0.4166666666666667,0.5263157894736842,0.6388888888888888,0.16666666666666666
sub-03,1:1,300->300,0.7307692307692307,0.7307692307692308,0.7142857142857143,0.7692307692307693,0.7407407407407407,0.8698224852071006,0.3076923076923077
sub-03,1:1,200->200,0.7916666666666666,0.7916666666666667,0.7692307692307693,0.8333333333333334,0.8,0.9097222222222223,0.25
sub-03,1:2,500->500,0.9230769230769231,0.9038461538461539,0.9166666666666666,0.8461538461538461,0.88,0.9615384615384617,0.038461538461538464
sub-03,1:2,500->300,0.7948717948717948,0.75,0.7272727272727273,0.6153846153846154,0.6666666666666666,0.8579881656804734,0.11538461538461539
sub-03,1:2,500->200,0.6388888888888888,0.5625,0.4444444444444444,0.3333333333333333,0.38095238095238093,0.5868055555555557,0.20833333333333334
sub-03,1:2,300->300,0.7948717948717948,0.7692307692307692,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.908284023668639,0.15384615384615385
sub-03,1:2,200->200,0.75,0.75,0.6,0.75,0.6666666666666666,0.8229166666666666,0.25
sub-04,1:1,500->500,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.814404432132964,0.3157894736842105
sub-04,1:1,500->300,0.6578947368421053,0.6578947368421052,0.875,0.3684210526315789,0.5185185185185185,0.6703601108033241,0.05263157894736842
sub-04,1:1,500->200,0.5789473684210527,0.5789473684210527,0.5882352941176471,0.5263157894736842,0.5555555555555556,0.6094182825484764,0.3684210526315789
sub-04,1:1,300->300,0.6842105263157895,0.6842105263157895,0.8181818181818182,0.47368421052631576,0.6,0.8698060941828255,0.10526315789473684
sub-04,1:1,200->200,0.7105263157894737,0.7105263157894737,0.6818181818181818,0.7894736842105263,0.7317073170731707,0.7229916897506925,0.3684210526315789
sub-04,1:2,500->500,0.7192982456140351,0.6973684210526316,0.5714285714285714,0.631578947368421,0.6,0.8185595567867036,0.23684210526315788
sub-04,1:2,500->300,0.6666666666666666,0.6052631578947368,0.5,0.42105263157894735,0.45714285714285713,0.6578947368421053,0.21052631578947367
sub-04,1:2,500->200,0.7192982456140351,0.6447368421052632,0.6153846153846154,0.42105263157894735,0.5,0.7105263157894737,0.13157894736842105
sub-04,1:2,300->300,0.7192982456140351,0.6842105263157895,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.8282548476454292,0.21052631578947367
sub-04,1:2,200->200,0.7543859649122807,0.7105263157894737,0.6470588235294118,0.5789473684210527,0.6111111111111112,0.8130193905817175,0.15789473684210525
sub-05,1:1,500->500,0.7631578947368421,0.763157894736842,0.7777777777777778,0.7368421052631579,0.7567567567567568,0.8781163434903048,0.21052631578947367
sub-05,1:1,500->300,0.7368421052631579,0.7368421052631579,1.0,0.47368421052631576,0.6428571428571429,0.8864265927977839,0.0
sub-05,1:1,500->200,0.5,0.5,0.5,0.3684210526315789,0.42424242424242425,0.5595567867036011,0.3684210526315789
sub-05,1:1,300->300,0.7105263157894737,0.7105263157894737,0.8333333333333334,0.5263157894736842,0.6451612903225806,0.8864265927977839,0.10526315789473684
sub-05,1:1,200->200,0.7105263157894737,0.7105263157894737,0.7222222222222222,0.6842105263157895,0.7027027027027027,0.7257617728531857,0.2631578947368421
sub-05,1:2,500->500,0.7894736842105263,0.7763157894736842,0.6666666666666666,0.7368421052631579,0.7,0.8725761772853186,0.18421052631578946
sub-05,1:2,500->300,0.7017543859649122,0.6447368421052632,0.5625,0.47368421052631576,0.5142857142857142,0.7368421052631579,0.18421052631578946
sub-05,1:2,500->200,0.7192982456140351,0.631578947368421,0.6363636363636364,0.3684210526315789,0.4666666666666667,0.7271468144044321,0.10526315789473684
sub-05,1:2,300->300,0.7368421052631579,0.6842105263157894,0.625,0.5263157894736842,0.5714285714285714,0.7936288088642659,0.15789473684210525
sub-05,1:2,200->200,0.7543859649122807,0.7105263157894737,0.6470588235294118,0.5789473684210527,0.6111111111111112,0.8060941828254847,0.15789473684210525
sub-06,1:1,500->500,0.8,0.8,0.8,0.8,0.8,0.89,0.2
sub-06,1:1,500->300,0.7142857142857143,0.7142857142857142,0.8,0.5714285714285714,0.6666666666666666,0.7755102040816326,0.14285714285714285
sub-06,1:1,500->200,0.7142857142857143,0.7142857142857143,1.0,0.42857142857142855,0.6,0.7755102040816326,0.0
sub-06,1:1,300->300,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7959183673469388,0.14285714285714285
sub-06,1:1,200->200,0.7857142857142857,0.7857142857142857,1.0,0.5714285714285714,0.7272727272727273,0.8163265306122449,0.0
sub-06,1:2,500->500,0.7666666666666667,0.75,0.6363636363636364,0.7,0.6666666666666666,0.8150000000000001,0.2
sub-06,1:2,500->300,0.6190476190476191,0.6071428571428572,0.4444444444444444,0.5714285714285714,0.5,0.5714285714285714,0.35714285714285715
sub-06,1:2,500->200,0.6666666666666666,0.6428571428571428,0.5,0.5714285714285714,0.5333333333333333,0.6224489795918368,0.2857142857142857
sub-06,1:2,300->300,0.6666666666666666,0.6428571428571428,0.5,0.5714285714285714,0.5333333333333333,0.7448979591836735,0.2857142857142857
sub-06,1:2,200->200,0.6190476190476191,0.5714285714285714,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.6122448979591836,0.2857142857142857
sub-07,1:1,500->500,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.7901234567901234,0.2777777777777778
sub-07,1:1,500->300,0.6944444444444444,0.6944444444444444,0.6842105263157895,0.7222222222222222,0.7027027027027027,0.7808641975308642,0.3333333333333333
sub-07,1:1,500->200,0.6944444444444444,0.6944444444444444,0.6521739130434783,0.8333333333333334,0.7317073170731707,0.8487654320987654,0.4444444444444444
sub-07,1:1,300->300,0.8611111111111112,0.8611111111111112,0.9333333333333333,0.7777777777777778,0.8484848484848485,0.8950617283950617,0.05555555555555555
sub-07,1:1,200->200,0.75,0.75,0.8461538461538461,0.6111111111111112,0.7096774193548387,0.8148148148148148,0.1111111111111111
sub-07,1:2,500->500,0.7222222222222222,0.7222222222222222,0.5652173913043478,0.7222222222222222,0.6341463414634146,0.7530864197530864,0.2777777777777778
sub-07,1:2,500->300,0.6111111111111112,0.625,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.7438271604938271,0.4166666666666667
sub-07,1:2,500->200,0.8333333333333334,0.8472222222222222,0.6956521739130435,0.8888888888888888,0.7804878048780488,0.9104938271604939,0.19444444444444445
sub-07,1:2,300->300,0.6666666666666666,0.6527777777777778,0.5,0.6111111111111112,0.55,0.7253086419753085,0.3055555555555556
sub-07,1:2,200->200,0.7962962962962963,0.75,0.7333333333333333,0.6111111111111112,0.6666666666666666,0.8333333333333333,0.1111111111111111
sub-08,1:1,500->500,0.9230769230769231,0.9230769230769231,0.8666666666666667,1.0,0.9285714285714286,0.9881656804733727,0.15384615384615385
sub-08,1:1,500->300,0.8846153846153846,0.8846153846153846,0.9166666666666666,0.8461538461538461,0.88,0.9467455621301776,0.07692307692307693
sub-08,1:1,500->200,0.6923076923076923,0.6923076923076923,0.6470588235294118,0.8461538461538461,0.7333333333333333,0.7751479289940828,0.46153846153846156
sub-08,1:1,300->300,0.8846153846153846,0.8846153846153846,0.8571428571428571,0.9230769230769231,0.8888888888888888,0.9467455621301776,0.15384615384615385
sub-08,1:1,200->200,0.8076923076923077,0.8076923076923077,0.8333333333333334,0.7692307692307693,0.8,0.8698224852071006,0.15384615384615385
sub-08,1:2,500->500,0.7948717948717948,0.8076923076923077,0.6470588235294118,0.8461538461538461,0.7333333333333333,0.8816568047337278,0.23076923076923078
sub-08,1:2,500->300,0.8205128205128205,0.8076923076923077,0.7142857142857143,0.7692307692307693,0.7407407407407407,0.9260355029585798,0.15384615384615385
sub-08,1:2,500->200,0.5384615384615384,0.5769230769230769,0.391304347826087,0.6923076923076923,0.5,0.7721893491124261,0.5384615384615384
sub-08,1:2,300->300,0.9743589743589743,0.9615384615384616,1.0,0.9230769230769231,0.96,0.9911242603550295,0.0
sub-08,1:2,200->200,0.6410256410256411,0.6730769230769231,0.47619047619047616,0.7692307692307693,0.5882352941176471,0.8076923076923077,0.4230769230769231
sub-09,1:1,500->500,0.6428571428571429,0.6428571428571428,0.6666666666666666,0.5714285714285714,0.6153846153846154,0.7551020408163265,0.2857142857142857
sub-09,1:1,500->300,0.5555555555555556,0.5555555555555556,0.5714285714285714,0.4444444444444444,0.5,0.6419753086419753,0.3333333333333333
sub-09,1:1,500->200,0.5625,0.5625,0.6666666666666666,0.25,0.36363636363636365,0.5,0.125
sub-09,1:1,300->300,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.6296296296296297,0.4444444444444444
sub-09,1:1,200->200,0.5625,0.5625,0.5454545454545454,0.75,0.631578947368421,0.609375,0.625
sub-09,1:2,500->500,0.5238095238095238,0.5714285714285714,0.38461538461538464,0.7142857142857143,0.5,0.6326530612244898,0.5714285714285714
sub-09,1:2,500->300,0.7037037037037037,0.6388888888888888,0.5714285714285714,0.4444444444444444,0.5,0.7037037037037037,0.16666666666666666
sub-09,1:2,500->200,0.5416666666666666,0.4375,0.2,0.125,0.15384615384615385,0.390625,0.25
