Train_Subject,Test_Subject,Ratio,Accuracy,Balanced_Accuracy,Precision,Recall,F1_Score,ROC_AUC,FPR
sub-01,sub-01,1:1,0.8724489795918368,0.8724489795918366,0.8686868686868687,0.8775510204081632,0.8730964467005076,0.9038942107455227,0.1326530612244898
sub-01,sub-02,1:1,0.5948275862068966,0.5948275862068966,0.5797101449275363,0.6896551724137931,0.6299212598425197,0.6161563614744352,0.5
sub-01,sub-03,1:1,0.5111111111111111,0.5111111111111111,0.5092592592592593,0.6111111111111112,0.5555555555555556,0.522962962962963,0.5888888888888889
sub-01,sub-04,1:1,0.5291666666666667,0.5291666666666667,0.5220125786163522,0.6916666666666667,0.5949820788530465,0.6015972222222222,0.6333333333333333
sub-01,sub-05,1:1,0.6666666666666666,0.6666666666666667,0.6282051282051282,0.8166666666666667,0.7101449275362319,0.7725694444444444,0.48333333333333334
sub-01,sub-06,1:1,0.4846153846153846,0.4846153846153846,0.49137931034482757,0.8769230769230769,0.6298342541436464,0.6328994082840236,0.9076923076923077
sub-01,sub-07,1:1,0.5720338983050848,0.5720338983050848,0.6133333333333333,0.3898305084745763,0.47668393782383417,0.594225797184717,0.2457627118644068
sub-01,sub-08,1:1,0.56,0.56,0.5352941176470588,0.91,0.674074074074074,0.6275,0.79
sub-01,sub-09,1:1,0.5425531914893617,0.5425531914893618,0.54,0.574468085106383,0.5567010309278351,0.4934359438660027,0.48936170212765956
sub-01,sub-10,1:1,0.6239316239316239,0.6239316239316239,0.5838150289017341,0.8632478632478633,0.696551724137931,0.724961648038571,0.6153846153846154
sub-02,sub-01,1:1,0.576530612244898,0.5765306122448979,0.6271186440677966,0.37755102040816324,0.4713375796178344,0.5930862140774678,0.22448979591836735
sub-02,sub-02,1:1,0.875,0.875,0.8782608695652174,0.8706896551724138,0.8744588744588745,0.9374256837098692,0.1206896551724138
sub-02,sub-03,1:1,0.6388888888888888,0.6388888888888888,0.6712328767123288,0.5444444444444444,0.6012269938650306,0.6908641975308641,0.26666666666666666
sub-02,sub-04,1:1,0.6458333333333334,0.6458333333333333,0.6605504587155964,0.6,0.62882096069869,0.6976388888888889,0.30833333333333335
sub-02,sub-05,1:1,0.6041666666666666,0.6041666666666666,0.5850340136054422,0.7166666666666667,0.6441947565543071,0.6578472222222222,0.5083333333333333
sub-02,sub-06,1:1,0.6153846153846154,0.6153846153846154,0.7027027027027027,0.4,0.5098039215686274,0.5995266272189348,0.16923076923076924
sub-02,sub-07,1:1,0.5889830508474576,0.5889830508474576,0.7560975609756098,0.2627118644067797,0.389937106918239,0.7059752944556162,0.0847457627118644
sub-02,sub-08,1:1,0.67,0.6699999999999999,0.7428571428571429,0.52,0.611764705882353,0.7268,0.18
sub-02,sub-09,1:1,0.44680851063829785,0.44680851063829785,0.4074074074074074,0.23404255319148937,0.2972972972972973,0.3829787234042553,0.3404255319148936
sub-02,sub-10,1:1,0.5982905982905983,0.5982905982905983,0.6533333333333333,0.4188034188034188,0.5104166666666666,0.6498648549930601,0.2222222222222222
sub-03,sub-01,1:1,0.5102040816326531,0.5102040816326531,0.5102040816326531,0.5102040816326531,0.5102040816326531,0.5105164514785506,0.4897959183673469
sub-03,sub-02,1:1,0.5948275862068966,0.5948275862068966,0.5932203389830508,0.603448275862069,0.5982905982905983,0.6241825208085612,0.41379310344827586
sub-03,sub-03,1:1,0.95,0.95,0.9175257731958762,0.9888888888888889,0.9518716577540107,0.9725925925925926,0.08888888888888889
sub-03,sub-04,1:1,0.6333333333333333,0.6333333333333333,0.5888888888888889,0.8833333333333333,0.7066666666666667,0.6947222222222222,0.6166666666666667
sub-03,sub-05,1:1,0.5041666666666667,0.5041666666666667,0.5047619047619047,0.44166666666666665,0.4711111111111111,0.49909722222222225,0.43333333333333335
sub-03,sub-06,1:1,0.5615384615384615,0.5615384615384615,0.5714285714285714,0.49230769230769234,0.5289256198347108,0.5711242603550296,0.36923076923076925
sub-03,sub-07,1:1,0.6440677966101694,0.6440677966101694,0.6440677966101694,0.6440677966101694,0.6440677966101694,0.6459350761275495,0.3559322033898305
sub-03,sub-08,1:1,0.595,0.595,0.6144578313253012,0.51,0.5573770491803278,0.6189,0.32
sub-03,sub-09,1:1,0.5851063829787234,0.5851063829787234,0.5952380952380952,0.5319148936170213,0.5617977528089888,0.6446355817111814,0.3617021276595745
sub-03,sub-10,1:1,0.4658119658119658,0.4658119658119658,0.474025974025974,0.6239316239316239,0.5387453874538746,0.46336474541602746,0.6923076923076923
sub-04,sub-01,1:1,0.5357142857142857,0.5357142857142857,0.5368421052631579,0.5204081632653061,0.5284974093264249,0.5161391087047063,0.4489795918367347
sub-04,sub-02,1:1,0.5862068965517241,0.5862068965517242,0.5980392156862745,0.5258620689655172,0.5596330275229358,0.6522740784780023,0.35344827586206895
sub-04,sub-03,1:1,0.6277777777777778,0.6277777777777778,0.6419753086419753,0.5777777777777777,0.6081871345029239,0.6714814814814815,0.32222222222222224
sub-04,sub-04,1:1,0.8875,0.8875,0.8974358974358975,0.875,0.8860759493670886,0.9574305555555556,0.1
sub-04,sub-05,1:1,0.6041666666666666,0.6041666666666667,0.6086956521739131,0.5833333333333334,0.5957446808510638,0.6336805555555556,0.375
sub-04,sub-06,1:1,0.6307692307692307,0.6307692307692307,0.6666666666666666,0.5230769230769231,0.5862068965517241,0.6759763313609467,0.26153846153846155
sub-04,sub-07,1:1,0.5296610169491526,0.5296610169491525,0.528,0.559322033898305,0.5432098765432098,0.5132864119505889,0.5
sub-04,sub-08,1:1,0.6,0.6,0.6428571428571429,0.45,0.5294117647058824,0.6376000000000001,0.25
