Ratio,Accuracy,Balanced_Accuracy,Precision,Recall,F1_Score,ROC_AUC,FPR
1:1,0.75,0.75,0.7631578947368421,0.725,0.7435897435897436,0.81625,0.225
1:2,0.75,0.7,0.6470588235294118,0.55,0.5945945945945946,0.8243750000000001,0.15
