Ratio,Accuracy,Balanced_Accuracy,Precision,Recall,F1_Score,ROC_AUC,FPR
1:1,0.8,0.8,0.8333333333333334,0.75,0.7894736842105263,0.8849999999999999,0.15
1:2,0.75,0.75,0.6,0.75,0.6666666666666666,0.88,0.25
