Ratio,Accuracy,Balanced_Accuracy,Precision,Recall,F1_Score,ROC_AUC,FPR
1:1,0.8846153846153846,0.8846153846153846,0.8571428571428571,0.9230769230769231,0.8888888888888888,0.9289940828402367,0.15384615384615385
1:2,0.7948717948717948,0.7884615384615385,0.6666666666666666,0.7692307692307693,0.7142857142857143,0.8964497041420119,0.19230769230769232
