Ratio,Accuracy,Balanced_Accuracy,Precision,Recall,F1_Score,ROC_AUC,FPR
1:1,0.71875,0.71875,0.7058823529411765,0.75,0.7272727272727273,0.81640625,0.3125
1:2,0.75,0.765625,0.5909090909090909,0.8125,0.6842105263157895,0.828125,0.28125
