Ratio,Accuracy,Balanced_Accuracy,Precision,Recall,F1_Score,ROC_AUC,FPR
1:1,0.6625,0.6625000000000001,0.6666666666666666,0.65,0.6582278481012658,0.751875,0.325
1:2,0.7083333333333334,0.6499999999999999,0.5757575757575758,0.475,0.5205479452054794,0.7843749999999999,0.175
